äœë™ì˙,pH,"EC
(É S/cm)",êÖâ∑(Åé),"Na
(mg/L)","NH4
(mg/L)","K
(mg/L)","Mg
(mg/L)","Ca
(mg/L)","Cl
(mg/L)","NO3
(mg/L)","SO4
(mg/L)","HCO3
(mg/L)","É¬18Çn
(ÅÒ)","É¬Çc
(ÅÒ)",d-excess,ORP,êÖâ∑(Åé),É¬15N-NO3(ÅÒ),É¬18O-NO3(ÅÒ)
2024/4/8,7.09,189.7,17.6,12.34,0.22,2.26,3.02,14.42,8.95,1.2,13.01,53,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/5/15,7.37,155.7,20.2,11.67,0,2.17,2.56,14.23,8.15,1.02,11.75,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/6/14,7.33,157.7,25.1,11.46,0,2.21,2.87,13.96,8.45,0.94,12.5,45,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/7/19,7.88,161.2,22.9,10.69,0,2.19,3.21,16.01,6.91,0.89,10.97,59,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/8/9,6.81,175.2,24.9,11.08,0.08,2.57,3.5,18.23,7.25,0.95,11.89,57,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/9/5,7.54,146.5,22.1,8.83,0.12,2.08,2.91,14.02,5.26,0.91,10.15,46.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/10/24,7.81,194,20.1,13.95,0.21,2.89,3.61,17.76,12.56,1.39,14.16,58.5,-9999,-9999,-9999,-9999,-9999,17.79,10.05
2024/11/7,7.08,171.5,15.5,12.69,0.23,2.65,3.36,16.53,9.08,1.23,12.09,63,-10.39,-70.6,12.52,-9999,-9999,-9999,-9999
2024/12/16,7.95,202.3,8.6,14.69,0.35,2.53,3.66,16.66,10.37,1.36,13.35,56,-9999,-9999,-9999,-72.8,8.5,-9999,-9999
2025/1/9,7.79,216.8,7.3,16.47,0.65,3.27,3.99,19.19,12.55,1.32,13.85,64,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2025/2/21,7.61,228.5,7.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
