äœë™ì˙,pH,"EC
(É S/cm)",êÖâ∑(Åé),"Na
(mg/L)","NH4
(mg/L)","K
(mg/L)","Mg
(mg/L)","Ca
(mg/L)","Cl
(mg/L)","NO3
(mg/L)","SO4
(mg/L)","HCO3
(mg/L)","É¬18Çn
(ÅÒ)","É¬Çc
(ÅÒ)",d-excess,ORP,êÖâ∑(Åé),É¬15N-NO3(ÅÒ),É¬18O-NO3(ÅÒ)
2024/4/8,7.26,144.5,17.7,11.66,0.34,2.02,2.29,11.16,8.56,1.24,12.75,35.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/5/15,7.22,149.6,20.5,11.73,0,2.08,2.3,11.96,9.36,1.28,12.65,41,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/9/26,7.85,197.1,22,13.99,0.31,2.89,2.87,14.41,11.13,1.18,12.3,46,-10.25,-70.9,11.1,-9999,-9999,-9999,-9999
2024/10/24,7.63,183.9,21.2,14.81,0.4,3.04,3.06,15.49,14.06,1.61,14.25,50,-10.07,-68.9,11.66,-9999,-9999,0.36,1.13
2024/11/7,7.32,158.6,14.6,12.7,0.33,2.57,2.85,14.19,9.58,1.4,11.93,53,-10.36,-69.9,12.98,-9999,-9999,-9999,-9999
2024/12/16,7.98,187.6,9.1,15.34,0.81,2.59,3.16,15.01,11.38,1.59,14.28,46,-9999,-9999,-9999,-63.41,9.9,-9999,-9999
2025/1/9,7.76,250.1,5.7,17.97,1.1,3.53,3.39,16.78,14.14,1.59,14.59,53,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2025/2/21,7.71,234.2,5.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
