äœë™ì˙,pH,"EC
(É S/cm)",êÖâ∑(Åé),"Na
(mg/L)","NH4
(mg/L)","K
(mg/L)","Mg
(mg/L)","Ca
(mg/L)","Cl
(mg/L)","NO3
(mg/L)","SO4
(mg/L)","HCO3
(mg/L)","É¬18Çn
(ÅÒ)","É¬Çc
(ÅÒ)",d-excess,ORP,êÖâ∑(Åé),É¬15N-NO3(ÅÒ),É¬18O-NO3(ÅÒ)
2024/5/15,7.8,116.5,19.8,7.12,0,1.51,2.12,10.79,4.42,0.55,7.66,40.75,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/6/14,8.1,89.9,23.1,6.08,0,1.34,1.77,8.46,3.56,0.27,6.11,34,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/7/19,7.18,105.2,23.3,6.34,0,1.38,2.21,10.89,3.1,0.4,6.24,50,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/8/9,6.95,139.7,26.6,7.93,0,1.99,2.92,14.36,4.21,0.69,8.84,50.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/9/5,6.91,82.2,22,4.56,0.03,1.23,1.56,7.57,1.89,0.5,4.79,27.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/10/24,8.23,126,21.1,8.36,0,1.86,2.55,12.63,5.93,0.53,8.57,55.5,-9999,-9999,-9999,-9999,-9999,2.76,1.84
2024/11/7,7.44,108.9,15.2,7.24,0,1.66,2.37,11.33,3.64,0.54,6.5,53.5,-10.27,-70.9,11.26,-9999,-9999,-9999,-9999
2024/12/16,8.57,164.3,8.3,10.44,0,1.96,2.69,12.19,6.5,0.31,7.79,46,-9999,-9999,-9999,-108.2,8.6,-9999,-9999
2025/1/9,7.76,145,6.1,10.65,0.13,2.15,3,13.84,6.57,0.44,8.71,49,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2025/2/21,8.06,173.9,5.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
