äœë™ì˙,pH,"EC
(É S/cm)",êÖâ∑(Åé),"Na
(mg/L)","NH4
(mg/L)","K
(mg/L)","Mg
(mg/L)","Ca
(mg/L)","Cl
(mg/L)","NO3
(mg/L)","SO4
(mg/L)","HCO3
(mg/L)","É¬18Çn
(ÅÒ)","É¬Çc
(ÅÒ)",d-excess,ORP,êÖâ∑(Åé),É¬15N-NO3(ÅÒ),É¬18O-NO3(ÅÒ)
2024/4/8,7.28,98.4,15,4.42,0,0.29,2.21,10.28,1.47,0.39,9.9,27.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/5/15,7.66,95.7,17.6,4.28,0,0.23,2.24,10.26,1.26,0.35,9.36,37.25,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/6/14,7.92,93.3,22.8,4.25,0,0.26,2.37,11.01,1.23,0.28,10.45,39,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/7/19,7.56,93,20.9,4.38,0,0.28,2.44,10.95,1.14,0.33,8.7,52,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/8/9,7.2,113.2,24.8,5.1,0,0.27,2.52,12.73,1.01,0.25,11.54,36.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/9/5,7.14,87.4,19.9,3.84,0,0.33,2.29,9.74,1.08,0.43,6.31,37.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2024/10/24,7.99,98.5,19.6,4.48,0,0.29,2.36,11.42,1.34,0.41,11.72,42,-9999,-9999,-9999,-9999,-9999,15.83,4.23
2024/11/7,7.6,88.5,12.1,4.05,0,0.31,2.42,10.73,1.07,0.49,7.81,44,-9.75,-65.3,12.7,-9999,-9999,-9999,-9999
2024/12/16,7.88,106.2,8.4,4.63,0,0.26,2.43,11.45,1.1,0.33,12.88,34,-9999,-9999,-9999,-66.2,9.2,-9999,-9999
2025/1/9,8.17,116.6,4.7,5.08,0,0.28,2.6,12.28,1.66,0.34,14.16,41,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2025/2/21,8.21,117,4.9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
